"ITTER107","Territorio","TIPO_DATO15","Funzioni biometriche","SEXISTAT1","Sesso","ETA1","Età e classi di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y10","10","2020","2020",99681,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y11","11","2020","2020",99675,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y0","0","2020","2020",99752,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y3","3","2020","2020",99698,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y8","8","2020","2020",99660,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y10","10","2020","2020",99647,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y11","11","2020","2020",99640,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y0","0","2020","2020",0.9997205,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y3","3","2020","2020",0.9998902,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y8","8","2020","2020",0.9999299,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y10","10","2020","2020",0.9999217,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y11","11","2020","2020",0.9999173,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y15","15","2020","2020",0.9998152,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y0","0","2020","2020",0.999779,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y3","3","2020","2020",0.9999131,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y8","8","2020","2020",0.9999436,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y10","10","2020","2020",0.9999345,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y11","11","2020","2020",0.9999326,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y0","0","2020","2020",0.999749,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y3","3","2020","2020",0.9999013,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y8","8","2020","2020",0.9999366,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y10","10","2020","2020",0.9999279,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y11","11","2020","2020",0.9999247,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y0","0","2020","2020",79.802,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y3","3","2020","2020",77.059,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y8","8","2020","2020",72.092,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y10","10","2020","2020",70.102,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y11","11","2020","2020",69.108,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y0","0","2020","2020",84.474,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y3","3","2020","2020",81.699,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y8","8","2020","2020",76.728,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y10","10","2020","2020",74.736,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y11","11","2020","2020",73.741,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y0","0","2020","2020",82.084,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y3","3","2020","2020",79.326,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y8","8","2020","2020",74.357,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y10","10","2020","2020",72.366,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y11","11","2020","2020",71.372,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y12","12","2020","2020",8,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y4","4","2020","2020",0.07879,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y1","1","2020","2020",16,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y15","15","2020","2020",99603,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y4","4","2020","2020",99688,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y9","9","2020","2020",99657,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y1","1","2020","2020",99715,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y15","15","2020","2020",69.762,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y4","4","2020","2020",10,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y12","12","2020","2020",9,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y12","12","2020","2020",99672,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y1","1","2020","2020",0.999861,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y4","4","2020","2020",80.707,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y12","12","2020","2020",0.9999173,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y4","4","2020","2020",99693,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y1","1","2020","2020",99704,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y15","15","2020","2020",0.08986,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y15","15","2020","2020",99609,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y12","12","2020","2020",0.9999079,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y1","1","2020","2020",99737,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y1","1","2020","2020",83.676,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y4","4","2020","2020",9,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y9","9","2020","2020",0.9999317,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y1","1","2020","2020",0.9998072,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y4","4","2020","2020",99723,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y15","15","2020","2020",99644,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y9","9","2020","2020",75.732,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y12","12","2020","2020",68.113,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y15","15","2020","2020",13,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y1","1","2020","2020",99727,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y9","9","2020","2020",0.9999249,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y4","4","2020","2020",99719,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y15","15","2020","2020",0.9998561,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y1","1","2020","2020",0.15801,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y15","15","2020","2020",99649,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y9","9","2020","2020",7,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y1","1","2020","2020",22,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y12","12","2020","2020",0.08643,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","1","maschi","Y4","4","2020","2020",0.999912,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y12","12","2020","2020",99668,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y12","12","2020","2020",70.377,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y1","1","2020","2020",99752,,
"IT","Italia","PYLIVED","anni vissuti - Lx","2","femmine","Y9","9","2020","2020",99688,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y12","12","2020","2020",99598,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y4","4","2020","2020",76.068,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y15","15","2020","2020",0.16007,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y1","1","2020","2020",19,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y12","12","2020","2020",0.9999273,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y9","9","2020","2020",0.07266,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y12","12","2020","2020",0.0776,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y1","1","2020","2020",99760,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y15","15","2020","2020",0.12589,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y4","4","2020","2020",0.08765,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y12","12","2020","2020",99602,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y15","15","2020","2020",65.133,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y12","12","2020","2020",7,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y9","9","2020","2020",71.097,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y4","4","2020","2020",0.09605,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y1","1","2020","2020",0.9998334,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y4","4","2020","2020",0.9999257,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y15","15","2020","2020",99572,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y12","12","2020","2020",99632,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y9","9","2020","2020",99621,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y15","15","2020","2020",67.395,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y15","15","2020","2020",9,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y1","1","2020","2020",0.22168,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y9","9","2020","2020",0.0653,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y9","9","2020","2020",6,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y12","12","2020","2020",0.06829,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y4","4","2020","2020",99659,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y1","1","2020","2020",81.299,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y9","9","2020","2020",99625,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y12","12","2020","2020",99636,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y9","9","2020","2020",73.362,,
"IT","Italia","LIFEXP","speranza di vita - ex","1","maschi","Y1","1","2020","2020",79.029,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y4","4","2020","2020",8,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y9","9","2020","2020",0.999939,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","2","femmine","Y15","15","2020","2020",0.9998992,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y4","4","2020","2020",99664,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y15","15","2020","2020",99564,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y1","1","2020","2020",0.19069,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y12","12","2020","2020",72.746,,
"IT","Italia","PYLIVED","anni vissuti - Lx","9","totale","Y9","9","2020","2020",99654,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y9","9","2020","2020",0.05755,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y9","9","2020","2020",7,,
"IT","Italia","PROJPROB","probabilità prospettiva di sopravvivenza - Px","9","totale","Y4","4","2020","2020",0.9999187,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y9","9","2020","2020",99690,,
"IT","Italia","LIFEXP","speranza di vita - ex","9","totale","Y4","4","2020","2020",78.334,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y2","2","2020","2020",99693,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y18","18","2020","2020",0.12491,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y21","21","2020","2020",63.81,,
"IT","Italia","PYLIVED","anni vissuti - Lx","1","maschi","Y2","2","2020","2020",99685,,
"IT","Italia","LIFEXP","speranza di vita - ex","2","femmine","Y18","18","2020","2020",66.784,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y21","21","2020","2020",0.13099,,
